#{"t_start": 1708508971.0591848, "env_id": "None"}
r,l,t
10.0,1,0.024569
10.0,1,0.026937
10.0,1,0.027721
10.0,1,0.028479
6.0,4,0.032153
10.0,1,0.033078
10.0,1,0.033763
10.0,1,0.035234
8.0,3,0.037292
10.0,1,0.038424
10.0,1,0.039099
10.0,1,0.040267
10.0,1,0.040932
10.0,1,0.041573
10.0,1,0.042211
10.0,1,0.042843
10.0,1,0.043545
10.0,1,0.044202
10.0,1,0.044866
10.0,1,0.045519
10.0,1,0.046268
10.0,1,0.047511
10.0,1,0.048593
10.0,1,0.049242
-17.0,16,0.05653
4.0,6,0.059624
7.0,4,0.062915
10.0,1,0.064121
10.0,1,0.065219
10.0,1,0.066402
7.0,3,0.068299
10.0,1,0.069384
10.0,1,0.070753
9.0,2,0.072231
10.0,1,0.072881
10.0,1,0.073553
10.0,1,0.074171
10.0,1,0.075216
1.0,8,0.079396
10.0,1,0.080708
10.0,1,0.081351
10.0,1,0.082373
10.0,1,0.082997
10.0,1,0.083655
10.0,1,0.084267
8.0,3,0.086063
10.0,1,0.086693
4.0,6,0.089732
8.0,3,0.091518
6.0,5,0.094081
10.0,1,0.095151
10.0,1,0.095853
10.0,1,0.096541
10.0,1,0.097599
10.0,1,0.098293
10.0,1,0.098886
10.0,1,0.099483
10.0,1,0.100072
8.0,3,0.101835
10.0,1,0.102454
10.0,1,0.103099
10.0,1,0.104103
10.0,1,0.104721
1.0,8,0.108288
10.0,1,0.109209
10.0,1,0.11012
10.0,1,0.110724
10.0,1,0.111253
10.0,1,0.111785
6.0,5,0.114286
10.0,1,0.114986
10.0,1,0.115882
10.0,1,0.116427
-7.0,12,0.121217
10.0,1,0.121779
10.0,1,0.122314
8.0,3,0.123935
10.0,1,0.124926
10.0,1,0.125691
10.0,1,0.126647
10.0,1,0.127469
10.0,1,0.128008
10.0,1,0.12961
6.0,4,0.131892
10.0,1,0.132467
10.0,1,0.133396
10.0,1,0.13398
10.0,1,0.134538
10.0,1,0.135148
10.0,1,0.1357
10.0,1,0.136601
10.0,1,0.137165
10.0,1,0.1377
8.0,2,0.138975
10.0,1,0.139588
10.0,1,0.140116
10.0,1,0.140996
5.0,5,0.143279
10.0,1,0.143868
10.0,1,0.144863
10.0,1,0.145414
10.0,1,0.145948
10.0,1,0.147012
10.0,1,0.147572
10.0,1,0.148102
10.0,1,0.14863
5.0,6,0.151252
10.0,1,0.151808
10.0,1,0.152334
10.0,1,0.153228
10.0,1,0.15412
10.0,1,0.155008
-1.0,7,0.157978
10.0,1,0.158526
10.0,1,0.15906
6.0,5,0.161246
10.0,1,0.16186
8.0,3,0.164552
10.0,1,0.165149
8.0,2,0.1664
10.0,1,0.166954
8.0,2,0.1682
10.0,1,0.168754
10.0,1,0.169291
10.0,1,0.169827
8.0,2,0.171061
10.0,1,0.171609
-5.0,7,0.174697
10.0,1,0.175608
8.0,2,0.176919
10.0,1,0.177912
10.0,1,0.178571
10.0,1,0.179104
10.0,1,0.18019
10.0,1,0.180747
7.0,3,0.182333
10.0,1,0.182881
10.0,1,0.183411
10.0,1,0.184016
10.0,1,0.184544
8.0,3,0.186118
10.0,1,0.186667
10.0,1,0.187544
10.0,1,0.188098
3.0,7,0.191031
10.0,1,0.191586
0.0,10,0.195522
10.0,1,0.196278
10.0,1,0.197162
9.0,2,0.198423
10.0,1,0.199324
10.0,1,0.199869
6.0,4,0.201803
10.0,1,0.202405
10.0,1,0.202937
10.0,1,0.203597
8.0,3,0.205206
10.0,1,0.206106
6.0,4,0.20812
10.0,1,0.208643
10.0,1,0.209153
7.0,3,0.210659
-1.0,6,0.21342
10.0,1,0.214286
10.0,1,0.214812
10.0,1,0.215497
10.0,1,0.216003
10.0,1,0.216505
10.0,1,0.217014
10.0,1,0.217516
4.0,7,0.221325
10.0,1,0.221945
6.0,3,0.223723
10.0,1,0.22433
10.0,1,0.22484
10.0,1,0.225537
10.0,1,0.226141
10.0,1,0.227363
8.0,2,0.228627
10.0,1,0.229704
10.0,1,0.230223
10.0,1,0.230731
10.0,1,0.231654
10.0,1,0.232165
10.0,1,0.232929
10.0,1,0.234147
10.0,1,0.234803
10.0,1,0.235428
10.0,1,0.235935
10.0,1,0.236469
10.0,1,0.237009
10.0,1,0.237508
10.0,1,0.238343
10.0,1,0.23886
8.0,2,0.240048
10.0,1,0.240564
10.0,1,0.241063
10.0,1,0.241555
7.0,3,0.243151
10.0,1,0.244143
10.0,1,0.244657
10.0,1,0.245532
10.0,1,0.246134
8.0,3,0.247688
10.0,1,0.248597
10.0,1,0.249449
10.0,1,0.24996
10.0,1,0.250505
6.0,5,0.2528
10.0,1,0.253768
6.0,4,0.255576
10.0,1,0.256098
10.0,1,0.256929
10.0,1,0.25744
8.0,3,0.258894
