#{"t_start": 1705323527.819189, "env_id": "None"}
r,l,t
6.0,5,0.010403
0.0,6,0.015127
2.0,4,0.018585
6.0,5,0.022996
2.0,9,0.028894
8.0,3,0.031196
0.0,6,0.035668
8.0,3,0.038061
6.0,5,0.041895
-2.0,8,0.047244
6.0,5,0.051162
6.0,5,0.055305
6.0,5,0.059237
6.0,5,0.06307
4.0,7,0.165199
-4.0,10,0.171861
1.0,5,0.17577
6.0,5,0.179466
6.0,5,0.183055
6.0,5,0.187306
6.0,5,0.190768
2.0,4,0.193562
-1.0,7,0.296777
6.0,5,0.300614
6.0,5,0.401574
2.0,4,0.40408
6.0,5,0.407116
6.0,5,0.410105
6.0,5,0.413224
8.0,3,0.41511
0.0,6,0.418822
6.0,5,0.422104
6.0,5,0.425369
6.0,5,0.428514
6.0,5,0.43177
6.0,5,0.434799
8.0,3,0.437387
6.0,5,0.440875
2.0,4,0.44316
2.0,4,0.445709
6.0,5,0.449014
8.0,3,0.451688
1.0,5,0.455765
6.0,5,0.458872
2.0,4,0.461252
6.0,5,0.464218
6.0,5,0.468206
6.0,5,0.471493
0.0,6,0.475152
2.0,4,0.47748
6.0,5,0.480793
6.0,5,0.483963
6.0,5,0.487369
6.0,5,0.490491
6.0,5,0.493376
6.0,5,0.496746
0.0,6,0.500811
6.0,5,0.503865
6.0,5,0.60259
6.0,5,0.605757
6.0,5,0.609412
-2.0,8,0.614149
8.0,3,0.616252
6.0,5,0.620662
6.0,5,0.623953
8.0,3,0.625872
6.0,5,0.629137
6.0,5,0.632363
2.0,4,0.635614
0.0,6,0.639252
6.0,5,0.642076
6.0,5,0.645171
6.0,5,0.648646
6.0,5,0.651926
6.0,5,0.655194
2.0,4,0.658095
0.0,6,0.661589
6.0,5,0.664376
6.0,5,0.667365
6.0,5,0.670539
6.0,5,0.673587
6.0,5,0.676936
6.0,5,0.68009
6.0,5,0.683152
-1.0,7,0.687578
6.0,5,0.781787
6.0,5,0.784841
4.0,7,0.7898
6.0,5,0.7932
6.0,5,0.796481
6.0,5,0.800094
6.0,5,0.804762
4.0,7,0.808833
0.0,6,0.812339
0.0,6,0.816113
0.0,6,0.820089
8.0,3,0.821987
6.0,5,0.825372
6.0,5,0.828377
6.0,5,0.83142
0.0,6,0.835141
-4.0,10,0.840956
-4.0,10,0.846747
0.0,6,0.850433
0.0,6,0.945796
4.0,7,0.951744
6.0,5,0.955037
4.0,2,0.956471
4.0,7,0.960794
2.0,4,0.963232
6.0,5,0.966286
6.0,5,0.97068
6.0,5,0.9739
-1.0,7,0.978058
6.0,5,0.981188
6.0,5,0.984858
2.0,4,0.9873
0.0,6,0.991049
8.0,3,0.993058
0.0,6,0.996807
4.0,7,1.001781
0.0,6,1.00584
4.0,7,1.010056
6.0,5,1.01317
6.0,5,1.01955
6.0,5,1.024003
6.0,5,1.028143
8.0,3,1.030459
-3.0,9,1.036649
1.0,5,1.041306
4.0,7,1.04636
8.0,3,1.048841
8.0,3,1.051136
