#{"t_start": 1708272699.544497, "env_id": "None"}
r,l,t
-51.0,57,0.106842
-32.0,43,0.156747
-99.0,105,0.265372
-124.0,130,0.399141
-31.0,37,0.438103
-51.0,62,0.504326
-33.0,44,0.555107
-152.0,163,0.778701
-28.0,34,0.816881
-132.0,143,0.968761
-18.0,29,1.00254
-26.0,32,1.039998
-44.0,50,1.094856
-44.0,55,1.152004
-55.0,66,1.22384
-130.0,141,1.372322
-230.0,236,1.634382
-41.0,47,1.687606
-81.0,92,1.787633
-45.0,56,1.848993
-96.0,107,1.967682
-32.0,38,2.006495
-120.0,126,2.137576
-32.0,38,2.175654
-35.0,46,2.223698
-57.0,68,2.294407
-1.0,12,3.480836
1.0,5,3.487628
-31.0,42,3.530934
-78.0,84,3.614556
-77.0,83,3.696929
-42.0,48,3.74471
-24.0,30,3.773475
-69.0,80,3.856141
-29.0,40,3.8969
-71.0,82,3.978851
-127.0,138,4.121641
-47.0,53,4.17451
-86.0,92,4.266718
-71.0,77,4.345443
-70.0,76,4.422381
-23.0,29,4.451762
-44.0,55,4.505935
-125.0,136,4.65294
-71.0,82,4.74038
-150.0,161,4.905248
-51.0,62,4.975817
-33.0,39,5.0159
-136.0,142,5.165532
-21.0,27,5.193175
-52.0,58,5.251561
-17.0,23,5.276976
-53.0,64,5.343126
-23.0,29,5.375885
-30.0,41,5.419885
-110.0,121,5.547441
-25.0,31,5.581684
-47.0,58,6.77021
-100.0,111,6.886057
-49.0,55,6.944563
9.0,2,6.946625
-29.0,35,6.984096
-133.0,144,7.14158
-25.0,31,7.175595
-197.0,208,7.390049
-22.0,28,7.419092
-25.0,31,7.4515
-10.0,21,7.474784
-47.0,53,7.529135
-166.0,177,7.712799
-35.0,46,7.760765
-33.0,39,7.804337
-96.0,107,7.928336
-225.0,236,8.18693
-178.0,184,8.388907
4.0,7,8.396016
-15.0,26,8.425894
-45.0,56,8.484926
8.0,3,8.488173
-45.0,56,8.549208
-18.0,29,8.580888
2.0,9,8.590675
-13.0,19,8.61087
-51.0,57,8.673523
-61.0,67,8.749759
-83.0,89,8.848956
-75.0,86,10.362532
-108.0,119,10.512098
-36.0,42,10.562908
-256.0,267,10.903413
-39.0,50,10.969098
-53.0,64,11.049572
-88.0,99,11.169054
-249.0,260,11.49683
-54.0,60,11.575233
-10.0,16,11.596777
-102.0,113,11.734954
-58.0,69,11.831858
-68.0,79,11.946995
-163.0,174,12.179372
-42.0,48,12.237985
-48.0,59,12.311926
-32.0,38,12.35834
-62.0,73,12.45066
-124.0,135,12.632639
-24.0,35,12.676788
-90.0,96,12.805751
-37.0,43,12.860082
-148.0,159,14.455234
-64.0,70,14.543293
-47.0,58,14.615187
-51.0,57,14.680783
-21.0,27,14.715667
-15.0,21,14.740883
-55.0,66,14.823568
-104.0,115,15.042914
-207.0,213,15.310738
-43.0,54,15.377535
-41.0,52,15.440711
-181.0,187,15.669152
-45.0,56,15.732606
-48.0,59,15.804482
-56.0,62,15.882903
-32.0,38,15.929744
-56.0,62,16.008396
-74.0,80,16.105851
-32.0,38,16.153229
-28.0,39,16.200697
-31.0,37,16.241612
-10.0,16,16.260007
-58.0,69,16.34563
-290.0,296,16.770576
-37.0,43,16.827083
-75.0,86,16.929249
-52.0,63,17.003387
-45.0,56,18.432966
-17.0,23,18.460376
-47.0,58,18.540422
-38.0,44,18.594876
-31.0,37,18.63991
-21.0,32,18.680092
-20.0,26,18.715547
-27.0,38,18.761394
-16.0,22,18.789673
-93.0,104,18.915233
-2.0,13,18.932577
-22.0,33,18.970942
-103.0,114,19.107389
-69.0,80,19.195527
-36.0,42,19.243992
-11.0,17,19.263353
-120.0,131,19.415413
-23.0,29,19.449569
-67.0,78,19.542543
-151.0,162,19.740931
-109.0,120,19.889405
-38.0,44,19.946763
-54.0,60,20.018091
-76.0,82,20.11372
-51.0,62,20.189451
-43.0,49,20.24452
-36.0,42,20.297366
-115.0,126,20.462168
-40.0,46,20.521427
-192.0,203,20.776808
-50.0,61,20.853686
-34.0,45,22.212835
-55.0,61,22.284243
-59.0,65,22.358829
-44.0,50,22.413814
-139.0,145,22.576676
-43.0,49,22.631236
-19.0,30,22.667978
-16.0,22,22.692063
-36.0,47,22.743953
-131.0,137,22.904689
3.0,8,22.91333
-71.0,82,23.009033
-11.0,17,23.02814
-56.0,62,23.101503
-9.0,20,23.125021
-52.0,63,23.197043
-69.0,80,23.284525
-45.0,51,23.339281
-104.0,115,23.464951
-170.0,181,23.668637
-80.0,86,23.774278
-9.0,20,23.799781
-29.0,40,23.84377
-22.0,33,23.879912
-29.0,35,23.921828
-72.0,83,24.015469
-35.0,41,24.111819
-37.0,48,24.178721
-43.0,49,24.237044
-58.0,64,24.308227
-67.0,78,24.400117
-17.0,28,24.446028
-44.0,50,24.501882
-85.0,91,24.605456
-74.0,80,25.815785
9.0,2,25.81811
-37.0,43,25.860057
-19.0,25,25.885593
-83.0,89,25.975073
-48.0,59,26.038624
-5.0,11,26.049358
-21.0,27,26.076061
-20.0,31,26.109668
-36.0,42,26.152095
-35.0,41,26.192802
-31.0,37,26.231112
-21.0,27,26.258016
-134.0,145,26.405061
-79.0,90,26.496354
-44.0,50,26.54852
-60.0,66,26.612788
-6.0,17,26.632504
-47.0,58,26.690282
-17.0,23,26.712811
-183.0,194,26.911427
-34.0,40,26.953667
-14.0,25,26.978626
-42.0,53,27.031106
-48.0,59,27.091962
-10.0,21,27.113002
-17.0,28,27.140576
-4.0,10,27.153223
-37.0,43,27.196442
-31.0,42,27.238628
-108.0,114,27.363916
-60.0,66,27.433805
-159.0,165,27.603731
-143.0,154,27.77211
-39.0,45,27.821756
-8.0,14,27.837065
-106.0,117,29.076102
-36.0,47,29.12693
-39.0,50,29.180082
-90.0,101,29.281388
-35.0,41,29.321661
-26.0,37,29.36155
3.0,8,29.371264
-137.0,148,29.520393
-9.0,15,29.536226
2.0,9,29.544922
-30.0,36,29.583491
-125.0,131,29.716597
-48.0,59,29.778652
-47.0,58,29.837106
-11.0,17,29.854567
-104.0,115,29.974258
-132.0,143,30.120696
-40.0,46,30.170048
-74.0,80,30.252436
