#{"t_start": 1708082663.01735, "env_id": "None"}
r,l,t
-268.0,279,0.32167
-16.0,22,0.344029
-113.0,119,0.443434
-83.0,94,0.531177
-15.0,21,0.556671
-79.0,85,0.641652
-8.0,14,0.655834
-53.0,64,0.721968
-59.0,70,0.784507
-86.0,97,0.872011
10.0,1,0.873457
-109.0,115,0.983198
-38.0,44,1.026723
-14.0,20,1.045638
-85.0,96,1.137674
-11.0,22,1.159853
-83.0,89,1.247673
-97.0,103,1.347442
-130.0,141,1.486085
-18.0,24,1.510492
-84.0,95,1.600669
-47.0,58,1.657223
-35.0,41,1.697273
-41.0,47,1.745845
-26.0,32,1.774938
0.0,6,1.78037
-73.0,84,1.861259
-42.0,48,1.903402
-68.0,74,1.970579
-203.0,209,3.161694
-196.0,207,3.358516
-7.0,13,3.371381
-43.0,54,3.423161
-181.0,192,3.591165
-52.0,58,3.652867
-31.0,37,3.685297
-26.0,37,3.719198
-64.0,75,3.787716
-116.0,127,3.901443
-30.0,36,3.939646
-62.0,68,4.003487
-190.0,201,4.190925
-76.0,82,4.267855
-45.0,51,4.31388
-5.0,16,4.331172
-57.0,68,4.401658
-35.0,41,4.44507
-40.0,46,4.494222
-70.0,76,4.5719
-68.0,79,4.650842
-18.0,29,4.680736
-115.0,126,4.799897
-17.0,28,4.825651
-63.0,69,4.888279
-45.0,51,4.932387
-49.0,60,6.047735
-21.0,27,6.074505
-71.0,82,6.152814
-5.0,16,6.168351
-152.0,158,6.313454
-110.0,116,6.426229
-71.0,82,6.512213
-11.0,17,6.531315
-100.0,111,6.641031
-44.0,55,6.695113
-73.0,84,6.775348
-81.0,87,6.856048
-24.0,35,6.891528
-97.0,108,7.002474
-17.0,23,7.025823
-33.0,44,7.067031
-182.0,193,7.262945
-56.0,67,7.337787
-119.0,130,7.478281
-317.0,328,7.852645
-89.0,95,7.956787
-109.0,115,8.074721
-87.0,93,9.454463
-91.0,97,9.555531
-89.0,95,9.655991
-93.0,104,9.762047
-19.0,25,9.787069
-17.0,28,9.820363
-8.0,19,9.840153
-29.0,40,9.883633
-61.0,72,9.96018
-93.0,99,10.059453
-3.0,14,10.074349
-31.0,42,10.117338
4.0,7,10.12773
-58.0,64,10.198229
-11.0,22,10.218923
-39.0,45,10.261854
1.0,5,10.267118
-208.0,214,10.481916
10.0,1,10.483036
-68.0,74,10.554867
-35.0,41,10.592536
-85.0,91,10.68333
-41.0,47,10.730281
-21.0,32,10.763338
-33.0,44,10.806448
-43.0,54,10.857225
-33.0,39,10.89833
-60.0,66,10.959327
-28.0,34,10.992534
-112.0,118,11.09946
-25.0,36,11.134326
-34.0,40,11.173372
-37.0,48,11.224796
-125.0,136,11.350259
-89.0,100,12.55568
-53.0,59,12.617511
-60.0,66,12.684649
-283.0,294,13.008906
-35.0,41,13.056408
-4.0,10,13.068636
-87.0,93,13.175521
-24.0,35,13.21479
-114.0,125,13.366067
-38.0,49,13.420567
-173.0,179,13.612163
-43.0,54,13.663541
-141.0,147,13.805193
-6.0,17,13.822649
-145.0,151,13.970612
-60.0,71,14.059884
-45.0,56,14.114625
-41.0,47,14.162584
-113.0,124,14.275675
-55.0,61,14.332963
-89.0,95,14.422166
-88.0,94,14.597562
-86.0,97,14.69432
-16.0,22,14.717215
-26.0,37,14.756525
-65.0,76,16.126636
-59.0,65,16.195447
-26.0,32,16.226868
-134.0,140,16.373426
-27.0,38,16.411821
-57.0,63,16.476366
-19.0,30,16.510128
-33.0,44,16.555936
-62.0,68,16.623514
-87.0,93,16.715871
-27.0,38,16.751104
-150.0,161,16.911602
-138.0,149,17.05626
-279.0,285,17.340371
-34.0,40,17.382575
-39.0,45,17.427713
-22.0,28,17.455304
-9.0,15,17.470574
-70.0,81,17.557811
-34.0,45,17.602386
-7.0,18,17.621224
-63.0,69,17.692897
-88.0,99,17.796504
-45.0,51,17.855208
4.0,7,17.863252
-42.0,48,17.925317
-44.0,50,17.999078
-35.0,46,18.046542
-124.0,135,18.187838
-41.0,52,19.354524
-51.0,57,19.405943
-24.0,30,19.435038
-17.0,23,19.456999
-36.0,47,19.499434
-29.0,40,19.537783
-20.0,26,19.565122
-177.0,188,19.74115
-182.0,193,19.926723
-56.0,62,19.986148
-44.0,50,20.031725
-50.0,56,20.085876
7.0,4,20.089961
-48.0,54,20.140954
-6.0,17,20.156647
-120.0,131,20.284205
-45.0,56,20.335422
-45.0,51,20.385964
-31.0,37,20.430108
-72.0,78,20.554636
-158.0,169,20.718388
-25.0,36,20.750557
-84.0,90,20.830807
8.0,3,20.833483
-51.0,57,20.897053
-1.0,12,20.910415
-47.0,58,20.9626
-101.0,112,21.082737
-20.0,31,21.121224
-112.0,118,21.264272
-105.0,116,22.449785
-77.0,88,22.542366
-26.0,37,22.579868
-132.0,143,22.734193
-29.0,35,22.766272
-31.0,42,22.812055
-112.0,123,22.941006
-92.0,98,23.043507
-3.0,14,23.057222
-66.0,72,23.136763
