#{"t_start": 1708272628.77305, "env_id": "None"}
r,l,t
-10.0,21,0.070429
-308.0,319,0.372323
-62.0,73,0.433902
-39.0,50,0.482679
-56.0,67,0.546624
-125.0,131,0.680996
0.0,11,0.691403
-127.0,133,0.811228
-72.0,78,0.88193
-61.0,72,0.949419
-37.0,48,0.995303
-36.0,47,1.039278
-192.0,203,1.225398
-22.0,28,1.250464
-102.0,108,1.358513
-51.0,57,1.411294
-19.0,25,1.436406
-135.0,141,1.577244
-59.0,65,1.635509
-100.0,111,1.735217
-35.0,46,1.78188
-36.0,42,1.825786
-122.0,133,1.96273
-7.0,18,1.980588
-67.0,78,3.297076
-31.0,42,3.339205
-2.0,8,3.347185
-21.0,27,3.373518
-81.0,92,3.465196
-46.0,57,3.52369
-39.0,50,3.575658
-8.0,19,3.593552
-73.0,79,3.666012
-35.0,41,3.712681
-46.0,52,3.763763
-38.0,44,3.809634
-53.0,59,3.867023
-14.0,25,3.890568
-71.0,77,3.962124
-41.0,47,4.003099
-42.0,53,4.055276
-165.0,176,4.224445
-26.0,32,4.259867
-114.0,120,4.381681
-147.0,153,4.533039
-38.0,44,4.578291
-85.0,96,4.672175
-111.0,122,4.783199
-73.0,84,4.857563
-118.0,124,4.964356
-347.0,358,6.270359
10.0,1,6.271403
-59.0,65,6.333359
-199.0,210,6.542482
-61.0,72,6.615311
8.0,3,6.618137
-92.0,103,6.723479
-4.0,15,6.740843
-76.0,87,6.827357
-55.0,61,6.892393
-28.0,34,6.926639
-174.0,185,7.116169
-24.0,35,7.150064
-175.0,186,7.332854
-127.0,138,7.451066
-150.0,161,7.612912
-103.0,109,7.708224
-51.0,62,7.762321
-22.0,28,7.788371
-27.0,33,7.816591
-38.0,44,7.853685
-19.0,25,7.879112
-52.0,63,7.93828
-31.0,42,7.973232
-52.0,63,8.038632
-33.0,39,8.076033
-70.0,76,8.147725
-83.0,94,9.290265
-21.0,27,9.314742
-65.0,71,9.379982
-52.0,63,9.440697
-22.0,33,9.472093
-71.0,77,9.544254
-48.0,54,9.59062
-85.0,96,9.674513
-87.0,98,9.775081
-31.0,42,9.814855
-103.0,114,9.915686
-251.0,262,10.160775
-101.0,112,10.256006
-37.0,48,10.296297
-183.0,194,10.48854
-99.0,105,10.605411
-121.0,132,10.747299
2.0,4,10.751874
-34.0,40,10.795935
-32.0,38,10.83473
-41.0,47,10.893002
-150.0,161,11.068336
-54.0,65,11.129374
-56.0,62,11.18899
-11.0,17,11.204258
-40.0,51,12.295356
-80.0,86,12.381951
-49.0,60,12.44204
-264.0,275,12.712261
-56.0,62,12.775967
-90.0,101,12.87646
-51.0,62,12.938187
-88.0,94,13.033892
-56.0,67,13.103957
-30.0,41,13.147692
-102.0,113,13.25853
-75.0,81,13.336145
-73.0,79,13.414746
-74.0,80,13.493374
-14.0,20,13.513595
-75.0,81,13.597518
-59.0,70,13.664394
-82.0,93,13.756274
-172.0,178,13.941172
-43.0,54,13.992777
-48.0,54,14.046731
-55.0,66,14.191723
-32.0,38,14.232912
-45.0,51,14.283938
-14.0,25,14.306326
-11.0,17,14.321071
4.0,7,14.330311
-50.0,56,15.614016
-35.0,46,15.659422
-60.0,71,15.733494
-38.0,49,15.78196
-15.0,26,15.811286
-53.0,64,15.873857
-68.0,74,15.949654
-37.0,43,15.989509
0.0,11,16.005714
-17.0,28,16.039023
-119.0,130,16.168263
-76.0,87,16.254739
-99.0,110,16.372814
-59.0,70,16.448562
-71.0,77,16.536597
-17.0,23,16.562013
-29.0,35,16.5962
-19.0,30,16.627654
-132.0,143,16.775242
-37.0,48,16.828734
-61.0,67,16.906472
-35.0,41,16.954623
1.0,10,16.96529
-121.0,132,17.10682
-31.0,42,17.14976
-83.0,94,17.244478
-16.0,27,17.275318
-161.0,172,17.48039
-195.0,206,17.699284
-39.0,50,17.7522
-82.0,93,19.095089
-72.0,78,19.195551
-103.0,114,19.315642
-32.0,38,19.361976
-28.0,34,19.395354
-6.0,12,19.406848
-15.0,26,19.43075
-59.0,65,19.496834
-31.0,37,19.535941
-120.0,126,19.661084
-44.0,55,19.716464
-26.0,32,19.749383
-9.0,20,19.768446
-44.0,50,19.81949
-62.0,68,19.885761
-61.0,67,19.947501
-23.0,34,19.98056
-103.0,114,20.09081
-61.0,72,20.159347
-94.0,100,20.258657
-78.0,84,20.345009
-281.0,287,20.622966
-24.0,35,20.656307
-19.0,25,20.682346
-112.0,123,20.801532
-87.0,98,20.898423
-22.0,33,20.93257
-68.0,74,21.007794
-31.0,37,21.04518
-111.0,122,22.364898
-10.0,16,22.380145
-11.0,17,22.395293
-21.0,27,22.42019
-122.0,133,22.55729
-70.0,81,22.644588
-46.0,57,22.700902
-78.0,89,22.801699
-32.0,38,22.846695
-55.0,66,22.916693
-29.0,40,22.962571
-41.0,47,23.011487
-60.0,71,23.104212
-59.0,65,23.174771
-93.0,99,23.280766
-43.0,49,23.389677
-22.0,28,23.429643
-40.0,46,23.481618
-1.0,12,23.494458
-18.0,29,23.526682
8.0,3,23.530117
7.0,4,23.534737
1.0,10,23.546655
-5.0,11,23.562347
-25.0,31,23.59926
-45.0,51,23.655482
-78.0,84,23.746732
-41.0,52,23.800073
-49.0,55,23.858881
-39.0,45,23.90857
-49.0,60,23.979089
-23.0,29,24.00965
-133.0,144,24.176129
-78.0,84,24.263725
-58.0,64,24.331599
-29.0,40,24.374187
-11.0,22,24.399481
-2.0,8,24.409143
-40.0,51,24.462719
-21.0,32,24.49576
-21.0,27,24.525415
-26.0,37,24.564308
-124.0,135,25.842392
-27.0,33,25.882474
-50.0,61,25.94439
-8.0,14,25.958611
-69.0,80,26.048403
-19.0,25,26.074243
-88.0,94,26.171129
-59.0,65,26.238108
-133.0,139,26.378406
-13.0,24,26.403365
-51.0,62,26.465776
-39.0,45,26.515315
-45.0,51,26.569247
4.0,7,26.575983
8.0,3,26.578913
-23.0,34,26.61328
-98.0,104,26.718974
-76.0,82,26.805868
-25.0,36,26.841903
-78.0,89,26.926621
-77.0,88,27.010551
-104.0,110,27.126672
-74.0,85,27.217083
-21.0,27,27.248973
-174.0,185,27.439794
-168.0,174,27.630109
-69.0,75,27.70813
-27.0,38,27.746794
-49.0,60,27.815875
-28.0,39,27.856298
-66.0,77,29.136332
-61.0,67,29.209129
-43.0,49,29.259671
-44.0,50,29.310928
-50.0,56,29.368506
-20.0,31,29.400939
-26.0,32,29.4346
-78.0,89,29.52858
-103.0,109,29.640886
-3.0,9,29.65035
-89.0,95,29.753202
-201.0,207,29.95918
-49.0,60,30.023059
-3.0,14,30.036822
-15.0,21,30.058463
-66.0,77,30.132493
-28.0,39,30.168906
-244.0,250,30.400696
-142.0,153,30.540495
-45.0,51,30.586593
-21.0,32,30.61729
-49.0,60,30.697977
-43.0,49,30.748838
-32.0,43,30.794168
-27.0,33,30.826624
-28.0,39,30.87107
-49.0,60,30.929978
-50.0,61,30.994363
-33.0,44,31.036483
-67.0,78,31.115891
-38.0,44,32.400575
-22.0,33,32.436012
-97.0,103,32.549834
-121.0,132,32.685806
-22.0,28,32.713747
-27.0,38,32.753352
-25.0,36,32.791095
-114.0,120,32.927245
-35.0,41,32.973224
-49.0,60,33.053255
-60.0,71,33.128731
-47.0,58,33.193891
6.0,5,33.198952
-34.0,40,33.245718
-43.0,49,33.297668
-23.0,34,33.334836
-37.0,48,33.388618
-20.0,26,33.416183
-19.0,25,33.445293
-22.0,33,33.480135
-28.0,39,33.520763
-119.0,130,33.652042
-29.0,35,33.686814
-21.0,32,33.718333
-43.0,54,33.774327
-9.0,15,33.789365
-10.0,16,33.805383
-15.0,21,33.826165
-37.0,48,33.877937
-12.0,18,33.896493
-58.0,64,33.965794
-13.0,24,33.993212
-32.0,43,34.039365
-49.0,55,34.10184
-35.0,41,34.149148
-85.0,91,34.249577
-128.0,139,34.391414
-12.0,18,34.40971
-47.0,53,34.46424
-26.0,37,34.503919
2.0,4,34.50797
-62.0,68,34.575934
-2.0,13,35.745859
-45.0,56,35.807082
-6.0,12,35.819105
10.0,1,35.820552
-7.0,13,35.83398
-14.0,20,35.855603
-26.0,32,35.891562
-25.0,31,35.924198
-37.0,48,35.982132
-26.0,32,36.020994
-19.0,25,36.051593
-50.0,61,36.125865
-10.0,16,36.143171
-88.0,94,36.242548
-30.0,41,36.29254
-55.0,66,36.363908
-118.0,129,36.500103
-53.0,64,36.570244
-65.0,76,36.651111
-45.0,51,36.708993
-53.0,64,36.775693
-29.0,40,36.819008
-65.0,76,36.895676
-23.0,34,36.932474
-59.0,65,36.996901
-86.0,97,37.09469
-29.0,40,37.13937
-71.0,77,37.220161
-8.0,14,37.233495
-17.0,23,37.258123
2.0,9,37.266253
5.0,6,37.273472
10.0,1,37.274492
-2.0,13,37.289644
-55.0,61,37.350889
-5.0,11,37.362132
-2.0,13,37.375187
-18.0,24,37.398872
-57.0,68,37.463952
-6.0,17,37.481065
-16.0,22,37.503429
-28.0,39,37.545118
-24.0,35,37.581607
-16.0,22,37.607518
-35.0,46,37.652562
-8.0,14,37.665931
-52.0,63,37.725702
-10.0,16,37.7423
-32.0,38,37.779372
-51.0,57,37.839573
-85.0,96,39.136704
-14.0,20,39.157996
-5.0,16,39.174877
-20.0,31,39.251951
-73.0,79,39.366292
-17.0,28,39.397667
-21.0,32,39.433008
-30.0,36,39.472635
-53.0,64,39.544397
-20.0,26,39.571579
-53.0,59,39.638924
-18.0,24,39.663961
-17.0,23,39.688464
-76.0,87,39.783625
-51.0,62,39.858471
-4.0,15,39.876349
-21.0,27,39.908533
-39.0,45,39.963502
7.0,4,39.967686
-17.0,23,39.992363
-23.0,34,40.026603
-16.0,22,40.051154
-5.0,11,40.062994
-35.0,41,40.105335
4.0,7,40.112911
10.0,1,40.113988
-20.0,26,40.141029
-4.0,15,40.158431
-62.0,68,40.229189
-28.0,34,40.270076
-7.0,18,40.290807
-32.0,43,40.336066
-24.0,35,40.377198
-85.0,96,40.48308
-11.0,17,40.501508
-93.0,104,40.612012
-37.0,48,40.663451
-10.0,16,40.684458
-20.0,26,40.712229
-36.0,47,40.760688
-59.0,70,40.831325
-29.0,35,40.86635
-62.0,73,40.961489
-1.0,12,40.974346
-36.0,47,41.033747
-4.0,15,41.049373
-40.0,46,41.099907
-26.0,37,41.138101
-15.0,26,41.164979
