#{"t_start": 1709043287.864563, "env_id": "None"}
r,l,t
-124.0,124,0.257624
-201.0,201,0.560743
-201.0,201,0.902092
-132.0,132,1.13713
-170.0,170,1.431856
-93.0,93,1.580315
-14.0,14,1.603313
-120.0,120,1.791114
-201.0,201,2.09299
-157.0,157,2.331614
-126.0,126,2.514394
-201.0,201,2.834322
-201.0,201,3.124742
-166.0,166,4.893038
-108.0,108,5.075063
-201.0,201,5.425043
-46.0,46,5.497751
-201.0,201,5.85108
-106.0,106,6.127174
-201.0,201,6.479531
-139.0,139,6.71331
-96.0,96,6.885446
-37.0,37,6.940657
-120.0,120,7.131924
-129.0,129,7.344185
-201.0,201,7.679165
-158.0,158,7.952785
-89.0,89,8.115363
-27.0,27,8.162908
-201.0,201,10.283426
-201.0,201,10.600204
-201.0,201,10.926528
-201.0,201,11.23385
-201.0,201,11.528989
-201.0,201,11.824291
-195.0,195,12.133065
-201.0,201,12.420123
-127.0,127,12.598578
-124.0,124,12.77461
-201.0,201,13.052783
-91.0,91,13.175582
-57.0,57,14.692894
-58.0,58,14.783876
-119.0,119,14.956491
-165.0,165,15.198794
-172.0,172,15.42913
-114.0,114,15.597488
-67.0,67,15.692021
-201.0,201,15.965524
-111.0,111,16.117492
-201.0,201,16.378365
-201.0,201,16.675767
-110.0,110,16.837294
-117.0,117,17.00701
-115.0,115,17.177608
-117.0,117,17.339386
-78.0,78,17.443596
-201.0,201,19.172612
-102.0,102,19.318976
-201.0,201,19.603814
-179.0,179,19.865264
-201.0,201,20.194479
-201.0,201,20.693778
-201.0,201,21.09327
-47.0,47,21.172011
-201.0,201,21.45767
-161.0,161,21.683772
-135.0,135,21.865489
-107.0,107,22.090544
-177.0,177,22.338344
-187.0,187,24.128115
-201.0,201,24.419786
-168.0,168,24.646521
-90.0,90,24.768719
-201.0,201,25.04465
-82.0,82,25.165376
-201.0,201,25.430924
-201.0,201,25.725306
-201.0,201,26.022941
-201.0,201,26.31226
-93.0,93,26.45321
-179.0,179,26.767728
-201.0,201,28.84908
-201.0,201,29.15874
-85.0,85,29.305728
-201.0,201,29.710245
-8.0,8,29.728726
-66.0,66,29.857219
-201.0,201,30.162669
-201.0,201,30.527999
-150.0,150,30.786872
-172.0,172,31.086606
-186.0,186,31.488878
-201.0,201,31.793723
-199.0,199,32.132564
-89.0,89,34.235526
-147.0,147,34.496036
-83.0,83,34.639044
-62.0,62,34.755395
-201.0,201,35.06354
-201.0,201,35.362517
-201.0,201,35.663937
-163.0,163,35.912838
-72.0,72,36.027574
-116.0,116,36.22162
-79.0,79,36.339478
-146.0,146,36.566856
-104.0,104,36.760535
-192.0,192,37.055328
-103.0,103,37.24246
-54.0,54,37.332039
-201.0,201,39.333473
-101.0,101,39.535643
-109.0,109,39.710815
-92.0,92,39.850864
-141.0,141,40.058566
-108.0,108,40.222727
-188.0,188,40.494437
-138.0,138,40.697357
-178.0,178,40.952786
-167.0,167,41.185411
-128.0,128,41.377493
-77.0,77,41.49384
-201.0,201,41.777876
-201.0,201,42.05403
-179.0,179,43.900388
-73.0,73,44.000892
-200.0,200,44.268321
-201.0,201,44.607033
-73.0,73,44.720663
-191.0,191,45.03744
-72.0,72,45.138342
-201.0,201,45.421308
-53.0,53,45.499411
-97.0,97,45.638112
-201.0,201,45.911899
-157.0,157,46.178959
-79.0,79,46.293728
-201.0,201,46.582193
-176.0,176,48.026473
-141.0,141,48.201615
-92.0,92,48.31782
-85.0,85,48.420397
-190.0,190,48.656596
-201.0,201,48.893089
-155.0,155,49.091133
-201.0,201,49.339722
-110.0,110,49.485687
-55.0,55,49.557952
-201.0,201,49.849109
-165.0,165,50.08928
-133.0,133,50.29082
-201.0,201,50.600739
-201.0,201,52.429767
-201.0,201,52.715021
-201.0,201,53.010717
-201.0,201,53.284817
-165.0,165,53.522191
-43.0,43,53.581331
-83.0,83,53.691614
-200.0,200,53.948421
-132.0,132,54.121819
-201.0,201,54.383142
-152.0,152,54.586095
-201.0,201,54.85117
-201.0,201,56.444885
-113.0,113,56.590845
-201.0,201,56.837276
-195.0,195,57.071297
-153.0,153,57.248709
-194.0,194,57.478969
-201.0,201,57.802321
-201.0,201,58.041695
-201.0,201,58.277918
-118.0,118,58.411291
-201.0,201,58.649024
-201.0,201,58.881671
-111.0,111,60.153548
-192.0,192,60.38416
-33.0,33,60.425454
-148.0,148,60.604019
-183.0,183,60.824515
-143.0,143,60.990743
-201.0,201,61.22816
