#{"t_start": 1707740500.739226, "env_id": "None"}
r,l,t
0.0,1,0.02739
0.0,1,0.030168
0.0,1,0.032417
0.0,1,0.033978
0.0,1,0.035875
0.0,1,0.037599
0.0,1,0.03957
0.0,1,0.041561
-1.0,2,0.044194
0.0,1,0.045814
-2.0,3,0.050022
-1.0,2,0.053367
0.0,1,0.05487
0.0,1,0.05679
-1.0,2,0.05916
0.0,1,0.060504
-1.0,2,0.063207
0.0,1,0.064769
-1.0,2,0.067245
0.0,1,0.068744
0.0,1,0.070223
0.0,1,0.071573
0.0,1,0.073203
0.0,1,0.074505
0.0,1,0.075853
0.0,1,0.077276
0.0,1,0.078594
-2.0,3,0.082045
0.0,1,0.083403
-1.0,2,0.085529
0.0,1,0.08674
0.0,1,0.088509
0.0,1,0.089778
0.0,1,0.091218
-1.0,2,0.093393
0.0,1,0.094763
-1.0,2,0.097325
0.0,1,0.098828
0.0,1,0.100174
0.0,1,0.101464
0.0,1,0.102786
0.0,1,0.104222
0.0,1,0.105756
0.0,1,0.107181
0.0,1,0.108537
0.0,1,0.110846
0.0,1,0.112128
-5.0,6,0.118212
0.0,1,0.119769
0.0,1,0.12111
-3.0,4,0.125064
0.0,1,0.126566
0.0,1,0.127869
0.0,1,0.129393
-1.0,2,0.131725
0.0,1,0.133153
0.0,1,0.134678
0.0,1,0.136529
0.0,1,0.138991
0.0,1,0.140441
0.0,1,0.141765
0.0,1,0.143194
0.0,1,0.144697
0.0,1,0.1466
-1.0,2,0.149234
-4.0,5,0.155749
0.0,1,0.157097
0.0,1,0.15833
-1.0,2,0.160883
0.0,1,0.162716
0.0,1,0.164284
0.0,1,0.165519
0.0,1,0.16701
0.0,1,0.168401
0.0,1,0.169798
0.0,1,0.171065
0.0,1,0.172477
0.0,1,0.173786
0.0,1,0.175144
0.0,1,0.176408
0.0,1,0.178007
0.0,1,0.179429
0.0,1,0.180813
-2.0,3,0.184017
0.0,1,0.185524
0.0,1,0.186769
0.0,1,0.188003
0.0,1,0.189357
0.0,1,0.190684
0.0,1,0.191976
0.0,1,0.193301
-1.0,2,0.195554
0.0,1,0.19717
0.0,1,0.198412
0.0,1,0.199715
0.0,1,0.200944
0.0,1,0.202224
0.0,1,0.203798
0.0,1,0.205252
0.0,1,0.206489
0.0,1,0.207746
0.0,1,0.20899
0.0,1,0.210434
0.0,1,0.211642
-1.0,2,0.213806
0.0,1,0.215009
0.0,1,0.216286
0.0,1,0.218103
0.0,1,0.21953
0.0,1,0.220917
0.0,1,0.222156
0.0,1,0.223356
0.0,1,0.224993
0.0,1,0.226852
0.0,1,0.228202
0.0,1,0.229511
0.0,1,0.230901
-1.0,2,0.233039
-1.0,2,0.235532
0.0,1,0.2368
0.0,1,0.238024
0.0,1,0.239288
-1.0,2,0.241613
0.0,1,0.242959
-1.0,2,0.245491
0.0,1,0.246763
0.0,1,0.248184
0.0,1,0.249559
0.0,1,0.251126
0.0,1,0.252439
0.0,1,0.25364
0.0,1,0.2548
0.0,1,0.255956
0.0,1,0.257131
0.0,1,0.258446
-1.0,2,0.2606
0.0,1,0.261872
0.0,1,0.263063
0.0,1,0.264408
0.0,1,0.265661
0.0,1,0.26719
-1.0,2,0.269361
0.0,1,0.270611
0.0,1,0.271762
0.0,1,0.272993
0.0,1,0.274331
-1.0,2,0.276597
0.0,1,0.278014
0.0,1,0.279389
-1.0,2,0.281895
0.0,1,0.283304
0.0,1,0.284561
0.0,1,0.285912
0.0,1,0.287204
0.0,1,0.288731
0.0,1,0.290262
0.0,1,0.291527
-1.0,2,0.2942
-1.0,2,0.296589
0.0,1,0.297923
-1.0,2,0.300237
0.0,1,0.301484
0.0,1,0.30293
0.0,1,0.304666
-1.0,2,0.307192
-1.0,2,0.309743
0.0,1,0.311047
0.0,1,0.312377
0.0,1,0.313577
0.0,1,0.31485
0.0,1,0.31613
0.0,1,0.317327
0.0,1,0.318477
0.0,1,0.319799
-1.0,2,0.322217
0.0,1,0.32367
0.0,1,0.324954
-1.0,2,0.327408
0.0,1,0.32886
0.0,1,0.330352
-2.0,3,0.33398
0.0,1,0.335352
0.0,1,0.336512
0.0,1,0.337629
0.0,1,0.339021
-1.0,2,0.341331
0.0,1,0.342523
-1.0,2,0.344811
-1.0,2,0.347407
-1.0,2,0.349829
0.0,1,0.351052
0.0,1,0.35233
0.0,1,0.353517
0.0,1,0.354818
0.0,1,0.356239
-1.0,2,0.358682
0.0,1,0.359988
0.0,1,0.361252
-2.0,3,0.364307
0.0,1,0.365476
0.0,1,0.366886
0.0,1,0.368152
0.0,1,0.369331
-1.0,2,0.37185
0.0,1,0.373184
-4.0,5,0.378061
0.0,1,0.379458
0.0,1,0.380645
0.0,1,0.382141
0.0,1,0.383291
-2.0,3,0.38645
0.0,1,0.387667
0.0,1,0.388852
0.0,1,0.390095
0.0,1,0.391309
0.0,1,0.392496
0.0,1,0.393618
0.0,1,0.395211
0.0,1,0.396522
-4.0,5,0.401397
0.0,1,0.402638
0.0,1,0.404205
-1.0,2,0.406647
0.0,1,0.407914
0.0,1,0.409256
-1.0,2,0.411795
-1.0,2,0.414024
0.0,1,0.415255
0.0,1,0.41659
-1.0,2,0.41898
0.0,1,0.42016
0.0,1,0.421299
0.0,1,0.422496
-1.0,2,0.424542
0.0,1,0.426014
0.0,1,0.427322
0.0,1,0.428724
0.0,1,0.429945
-1.0,2,0.432472
0.0,1,0.433859
0.0,1,0.435192
0.0,1,0.436399
0.0,1,0.437565
-1.0,2,0.439743
0.0,1,0.440951
-1.0,2,0.443351
0.0,1,0.444618
