#{"t_start": 1709284193.5160131, "env_id": "None"}
r,l,t
9.0,2,0.03781
9.0,2,0.04328
10.0,1,0.044524
10.0,1,0.045336
10.0,1,0.047329
10.0,1,0.048068
10.0,1,0.04873
10.0,1,0.049661
10.0,1,0.05029
10.0,1,0.051892
10.0,1,9.923642
10.0,1,0.052752
10.0,1,9.924331
10.0,1,9.924989
10.0,1,0.054131
10.0,1,0.056003
10.0,1,0.056752
10.0,1,0.05805
10.0,1,0.059769
9.0,2,0.061782
10.0,1,0.062499
10.0,1,0.063783
10.0,1,0.064448
10.0,1,0.065712
10.0,1,0.066988
10.0,1,0.067708
10.0,1,0.068358
10.0,1,0.069623
10.0,1,0.070306
10.0,1,0.0722
10.0,1,0.072946
10.0,1,0.073586
10.0,1,0.074359
10.0,1,0.07535
10.0,1,0.07605
10.0,1,0.077426
10.0,1,0.078128
10.0,1,0.078819
10.0,1,0.079459
10.0,1,0.08009
10.0,1,0.080773
10.0,1,0.081406
9.0,2,0.08324
10.0,1,10.039234
10.0,1,10.040362
10.0,1,10.041659
10.0,1,10.042256
10.0,1,10.043066
10.0,1,10.043679
10.0,1,10.04432
10.0,1,10.044975
10.0,1,10.046141
10.0,1,10.046697
10.0,1,10.047767
10.0,1,10.048329
10.0,1,0.195237
10.0,1,0.19637
9.0,2,0.198652
10.0,1,0.199408
10.0,1,0.200153
10.0,1,0.200704
10.0,1,0.201994
10.0,1,0.203156
10.0,1,0.204361
10.0,1,0.205089
10.0,1,0.206533
10.0,1,0.20713
9.0,2,0.208906
10.0,1,0.210166
10.0,1,0.210801
10.0,1,0.315785
10.0,1,0.316363
10.0,1,0.316911
10.0,1,0.317961
10.0,1,0.31852
10.0,1,0.319071
10.0,1,0.320241
10.0,1,0.32081
10.0,1,0.32205
10.0,1,0.322765
10.0,1,0.323502
10.0,1,0.324056
10.0,1,0.324648
10.0,1,0.325756
9.0,2,0.327485
9.0,2,0.329055
10.0,1,0.329616
10.0,1,0.33072
10.0,1,0.331786
10.0,1,0.332853
10.0,1,0.333919
10.0,1,0.334489
10.0,1,0.335085
10.0,1,0.336374
10.0,1,0.337097
10.0,1,0.33846
10.0,1,0.339033
10.0,1,0.339572
10.0,1,0.340164
10.0,1,0.341221
10.0,1,0.342271
10.0,1,0.34284
10.0,1,0.343382
10.0,1,0.344425
10.0,1,0.345489
10.0,1,0.346043
10.0,1,0.346582
10.0,1,0.347635
10.0,1,0.348193
10.0,1,0.348741
10.0,1,0.349279
10.0,1,0.349816
10.0,1,0.350349
10.0,1,0.351428
10.0,1,0.352536
10.0,1,0.353119
10.0,1,0.35371
10.0,1,0.354253
10.0,1,0.354887
10.0,1,0.355482
9.0,2,0.35715
10.0,1,0.357711
10.0,1,0.358251
10.0,1,0.358793
10.0,1,0.359338
10.0,1,0.359938
10.0,1,0.360986
10.0,1,0.361542
10.0,1,0.362081
10.0,1,0.362618
10.0,1,0.363159
10.0,1,0.363699
10.0,1,0.36424
10.0,1,0.364774
10.0,1,0.365362
10.0,1,0.366463
10.0,1,0.367027
10.0,1,10.25719
-6.0,12,10.264577
10.0,1,10.265219
10.0,1,10.266241
10.0,1,10.267497
10.0,1,10.268518
10.0,1,10.26954
10.0,1,0.473764
10.0,1,0.474321
10.0,1,0.474859
10.0,1,0.475448
10.0,1,0.476026
10.0,1,0.47655
10.0,1,0.477077
10.0,1,0.478229
10.0,1,0.47902
10.0,1,0.479555
10.0,1,0.480152
10.0,1,0.480684
8.0,3,0.483581
10.0,1,0.485096
10.0,1,0.48565
10.0,1,0.486203
10.0,1,0.486749
9.0,2,0.489436
10.0,1,0.490513
10.0,1,0.491128
7.0,4,0.493854
10.0,1,0.494476
10.0,1,0.495
9.0,2,0.496501
10.0,1,0.497535
10.0,1,0.498077
10.0,1,0.498593
10.0,1,0.499652
10.0,1,0.500191
10.0,1,0.50071
10.0,1,0.501919
10.0,1,0.502459
10.0,1,0.503512
10.0,1,0.504749
10.0,1,0.506523
10.0,1,0.507339
10.0,1,0.507892
10.0,1,0.508707
10.0,1,0.50939
10.0,1,0.509925
10.0,1,10.381602
10.0,1,0.511273
10.0,1,10.382888
10.0,1,0.511829
10.0,1,10.383928
10.0,1,0.51289
10.0,1,0.513439
10.0,1,10.384969
10.0,1,0.51397
10.0,1,0.514576
10.0,1,10.38599
10.0,1,0.515104
10.0,1,10.38652
10.0,1,10.387036
10.0,1,0.516137
10.0,1,10.387553
10.0,1,0.516679
10.0,1,10.388565
10.0,1,10.389195
9.0,2,0.518511
10.0,1,10.389944
10.0,1,0.519212
10.0,1,0.51976
10.0,1,10.391134
10.0,1,0.520894
10.0,1,10.392331
10.0,1,0.522168
10.0,1,10.39353
10.0,1,0.523088
10.0,1,10.394451
10.0,1,10.395379
10.0,1,0.525027
10.0,1,0.525944
9.0,2,10.397825
10.0,1,0.526647
10.0,1,10.398525
10.0,1,0.528229
10.0,1,10.400207
10.0,1,0.528898
10.0,1,10.40085
10.0,1,0.53004
10.0,1,10.401387
10.0,1,10.401922
10.0,1,0.530593
10.0,1,0.531178
10.0,1,10.403015
10.0,1,0.531713
10.0,1,0.532401
10.0,1,0.532995
10.0,1,0.533764
8.0,3,10.405708
10.0,1,0.535431
10.0,1,10.407716
10.0,1,0.536659
10.0,1,10.408842
10.0,1,0.537688
10.0,1,10.409553
10.0,1,0.539041
10.0,1,0.539748
1.0,5,10.413162
10.0,1,10.414461
10.0,1,10.415062
10.0,1,10.415715
-1.0,7,0.544421
10.0,1,10.41629
10.0,1,0.545113
10.0,1,10.417038
10.0,1,0.545883
10.0,1,10.41756
10.0,1,0.54643
10.0,1,10.418949
10.0,1,10.420264
10.0,1,10.421438
10.0,1,10.422613
10.0,1,10.424235
10.0,1,10.425151
10.0,1,10.426117
10.0,1,10.42685
10.0,1,10.427493
10.0,1,10.428115
10.0,1,10.428727
10.0,1,10.42934
10.0,1,10.429961
10.0,1,10.430581
10.0,1,10.431202
10.0,1,10.431878
9.0,2,10.433875
10.0,1,10.435221
10.0,1,10.435887
10.0,1,10.436515
9.0,2,10.43837
10.0,1,10.439578
10.0,1,10.440199
10.0,1,10.440804
10.0,1,10.441404
10.0,1,10.442016
10.0,1,10.442697
10.0,1,10.443334
9.0,2,10.4456
10.0,1,10.446885
10.0,1,10.447514
10.0,1,10.448119
10.0,1,10.448722
10.0,1,10.449318
10.0,1,0.657099
10.0,1,0.657676
10.0,1,0.658233
10.0,1,0.658789
9.0,2,0.660404
10.0,1,0.66097
10.0,1,0.662077
10.0,1,0.662637
10.0,1,0.663182
10.0,1,0.663722
10.0,1,0.664259
10.0,1,0.664799
10.0,1,0.665337
10.0,1,0.665878
10.0,1,0.666947
10.0,1,0.667546
9.0,2,0.669615
10.0,1,0.670568
10.0,1,0.671516
10.0,1,0.67233
10.0,1,0.673026
10.0,1,0.673589
10.0,1,0.674142
10.0,1,0.674703
10.0,1,0.675315
10.0,1,0.676716
10.0,1,0.677283
10.0,1,0.677844
9.0,2,0.679441
10.0,1,0.680678
10.0,1,0.681261
10.0,1,0.681822
10.0,1,0.6829
10.0,1,0.683993
9.0,2,0.685688
10.0,1,0.686346
10.0,1,0.688221
10.0,1,0.689652
10.0,1,10.561331
10.0,1,10.561923
10.0,1,10.562462
10.0,1,10.563004
10.0,1,10.563545
10.0,1,10.564083
10.0,1,10.565148
10.0,1,10.565702
10.0,1,10.566244
10.0,1,10.56678
10.0,1,10.567324
10.0,1,10.567868
10.0,1,10.568401
10.0,1,10.569472
10.0,1,10.570028
10.0,1,10.570572
10.0,1,10.571629
10.0,1,10.572186
10.0,1,10.573397
10.0,1,10.573956
10.0,1,10.574864
10.0,1,10.575956
10.0,1,10.576694
10.0,1,10.57786
10.0,1,10.578927
10.0,1,10.579485
10.0,1,10.580534
10.0,1,10.581087
10.0,1,10.582137
10.0,1,10.583191
10.0,1,10.583748
10.0,1,10.584808
9.0,2,10.586372
10.0,1,10.586931
10.0,1,10.587468
10.0,1,10.588516
10.0,1,10.589068
10.0,1,10.589662
10.0,1,10.590801
10.0,1,10.592568
10.0,1,10.593752
1.0,5,10.596917
10.0,1,10.597488
10.0,1,10.598551
9.0,2,10.600161
10.0,1,10.601286
10.0,1,10.601849
10.0,1,10.602907
10.0,1,10.603553
10.0,1,10.604615
10.0,1,10.60568
10.0,1,10.606287
10.0,1,10.606912
10.0,1,10.608364
10.0,1,10.609062
10.0,1,10.610292
10.0,1,10.610854
10.0,1,10.611393
10.0,1,10.612474
10.0,1,10.613543
10.0,1,10.614096
10.0,1,10.614641
10.0,1,10.615177
10.0,1,10.615719
10.0,1,10.61635
10.0,1,10.617405
10.0,1,10.618477
10.0,1,10.619031
10.0,1,10.619574
10.0,1,10.620114
10.0,1,10.621168
10.0,1,0.805228
10.0,1,0.805951
10.0,1,0.806607
10.0,1,0.807981
10.0,1,0.80867
10.0,1,0.809299
10.0,1,0.809937
10.0,1,0.81126
10.0,1,0.812602
10.0,1,0.813902
10.0,1,0.814589
10.0,1,0.81524
7.0,4,0.818755
10.0,1,0.819553
10.0,1,0.820269
10.0,1,0.822492
10.0,1,0.824033
10.0,1,0.825975
10.0,1,0.826998
10.0,1,0.828556
10.0,1,0.829884
9.0,2,0.831808
10.0,1,0.833169
10.0,1,0.833858
10.0,1,0.834591
10.0,1,0.836098
10.0,1,0.836869
10.0,1,0.837573
10.0,1,0.838995
10.0,1,0.839708
10.0,1,0.841031
10.0,1,0.841722
10.0,1,0.842599
10.0,1,0.843268
10.0,1,0.84404
10.0,1,0.845359
10.0,1,0.846016
10.0,1,0.846642
10.0,1,0.847267
10.0,1,0.848536
10.0,1,0.84982
10.0,1,0.850528
10.0,1,0.852093
10.0,1,0.853473
10.0,1,0.854301
10.0,1,0.855743
10.0,1,0.856415
10.0,1,0.857055
10.0,1,0.858424
10.0,1,0.859122
10.0,1,0.859763
10.0,1,0.861047
10.0,1,0.862326
10.0,1,0.86298
10.0,1,0.863635
