#{"t_start": 1706387547.8057642, "env_id": "None"}
r,l,t
36.0,36,0.180923
15.0,15,0.194905
10.0,10,0.205131
25.0,25,0.227364
3.0,3,0.231708
23.0,23,0.251773
23.0,23,0.272087
9.0,9,0.279676
12.0,12,0.296966
19.0,19,0.315516
16.0,16,0.331342
10.0,10,0.340427
10.0,10,0.349458
35.0,35,0.378291
10.0,10,0.386383
12.0,12,0.395644
31.0,31,0.423622
6.0,6,0.428634
29.0,29,0.451661
18.0,18,0.465737
9.0,9,0.472788
30.0,30,0.496392
52.0,52,0.542688
28.0,28,0.567574
19.0,19,0.583057
20.0,20,0.600492
21.0,21,0.623606
12.0,12,0.634743
46.0,46,0.67245
10.0,10,0.680364
82.0,82,0.751247
3.0,3,0.753837
36.0,36,0.782497
5.0,5,0.786181
25.0,25,0.804672
7.0,7,0.810036
35.0,35,0.84623
11.0,11,0.856771
22.0,22,0.875227
24.0,24,0.895935
19.0,19,0.910659
9.0,9,0.917781
14.0,14,0.932489
24.0,24,0.952044
13.0,13,0.962784
7.0,7,0.968308
9.0,9,0.975546
6.0,6,0.980754
9.0,9,0.987882
28.0,28,1.009724
20.0,20,1.026083
39.0,39,1.07047
13.0,13,1.08261
18.0,18,1.102985
18.0,18,1.121422
21.0,21,1.143351
16.0,16,1.15669
50.0,50,1.197009
32.0,32,1.222275
4.0,4,1.225718
20.0,20,1.245389
23.0,23,1.265102
11.0,11,1.276739
1.0,1,1.278476
19.0,19,1.305466
40.0,40,1.340128
7.0,7,1.346903
25.0,25,1.370922
24.0,24,1.389683
38.0,38,1.420164
17.0,17,1.433924
34.0,34,1.462673
13.0,13,1.473105
9.0,9,1.480672
56.0,56,1.526184
43.0,43,1.563895
19.0,19,1.580196
22.0,22,1.596893
7.0,7,1.602426
12.0,12,1.611357
111.0,111,1.70607
13.0,13,1.716822
10.0,10,1.725365
15.0,15,1.740655
9.0,9,1.750971
24.0,24,1.780763
9.0,9,1.789263
27.0,27,1.813426
20.0,20,1.829626
13.0,13,1.839693
64.0,64,1.891672
66.0,66,1.941479
36.0,36,2.913743
55.0,55,2.955582
100.0,100,3.031846
3.0,3,3.034078
7.0,7,3.039722
1.0,1,3.040668
14.0,14,3.051553
25.0,25,3.07107
58.0,58,3.121878
5.0,5,3.126098
12.0,12,3.135673
49.0,49,3.178432
7.0,7,3.183552
3.0,3,3.185705
19.0,19,3.199763
34.0,34,3.229773
9.0,9,3.236815
50.0,50,3.276235
10.0,10,3.284037
10.0,10,3.291889
24.0,24,3.311968
19.0,19,3.328345
67.0,67,3.383113
5.0,5,3.386718
27.0,27,3.406838
12.0,12,3.418392
30.0,30,3.446191
76.0,76,3.5067
10.0,10,3.514402
6.0,6,3.520648
19.0,19,3.534822
13.0,13,3.544632
12.0,12,3.553572
10.0,10,3.561349
35.0,35,3.587313
3.0,3,3.589574
4.0,4,3.592549
19.0,19,3.606477
21.0,21,3.623957
4.0,4,3.628759
8.0,8,3.635076
40.0,40,3.685936
31.0,31,3.714211
40.0,40,3.747394
17.0,17,3.760844
18.0,18,3.776614
57.0,57,3.821514
35.0,35,3.849589
16.0,16,3.862395
8.0,8,3.869159
3.0,3,3.871358
64.0,64,3.918129
5.0,5,3.921768
16.0,16,3.933314
9.0,9,3.940362
11.0,11,3.950005
24.0,24,3.976301
3.0,3,3.978866
10.0,10,3.986465
9.0,9,3.993054
21.0,21,4.008976
18.0,18,4.02196
26.0,26,4.041152
13.0,13,4.052595
9.0,9,4.059896
14.0,14,4.070807
19.0,19,4.085363
13.0,13,4.095459
16.0,16,4.107682
61.0,61,4.152534
20.0,20,4.170563
4.0,4,4.173661
15.0,15,4.185683
18.0,18,4.199578
30.0,30,4.221719
7.0,7,4.226837
18.0,18,4.244069
21.0,21,4.261644
37.0,37,4.298002
4.0,4,4.301503
66.0,66,4.352757
18.0,18,4.368616
30.0,30,4.392576
7.0,7,4.398035
18.0,18,4.412016
11.0,11,4.421643
56.0,56,4.466191
6.0,6,4.471277
19.0,19,4.489853
12.0,12,4.503455
49.0,49,4.545579
32.0,32,4.568848
19.0,19,5.429077
11.0,11,5.438049
7.0,7,5.443192
50.0,50,5.48605
21.0,21,5.503767
136.0,136,5.612802
18.0,18,5.626386
13.0,13,5.637922
13.0,13,5.64877
9.0,9,5.65578
35.0,35,5.683156
24.0,24,5.701524
69.0,69,5.756063
27.0,27,5.776709
2.0,2,5.778327
17.0,17,5.790907
19.0,19,5.804863
26.0,26,5.823452
10.0,10,5.831324
5.0,5,5.837815
11.0,11,5.84803
39.0,39,5.879934
5.0,5,5.884414
10.0,10,5.892994
1.0,1,5.893944
64.0,64,5.943073
15.0,15,5.956007
10.0,10,5.963891
16.0,16,5.976377
15.0,15,5.988002
9.0,9,5.99479
1.0,1,5.99564
23.0,23,6.013681
16.0,16,6.025642
1.0,1,6.026511
30.0,30,6.04858
8.0,8,6.056286
4.0,4,6.05935
15.0,15,6.071746
16.0,16,6.083933
18.0,18,6.102595
6.0,6,6.107153
25.0,25,6.125602
21.0,21,6.14109
42.0,42,6.17467
21.0,21,6.190059
16.0,16,6.201834
