#{"t_start": 1708524409.719499, "env_id": "None"}
r,l,t
41.0,41,0.074034
22.0,22,0.088753
37.0,37,0.110767
29.0,29,0.126552
17.0,17,0.135798
22.0,22,0.149315
17.0,17,0.159791
15.0,15,0.16767
15.0,15,0.176268
25.0,25,0.190432
12.0,12,0.197133
48.0,48,0.224324
18.0,18,0.234513
5.0,5,0.237406
3.0,3,0.239225
76.0,76,0.291784
19.0,19,0.310777
56.0,56,0.351488
14.0,14,0.361029
5.0,5,0.364271
26.0,26,0.381026
43.0,43,0.407439
26.0,26,0.422694
15.0,15,0.431616
17.0,17,0.441754
15.0,15,0.450231
21.0,21,0.461939
45.0,45,0.487488
29.0,29,0.503479
7.0,7,0.507307
25.0,25,0.521279
18.0,18,0.533139
14.0,14,0.541374
6.0,6,0.544696
74.0,74,0.586447
9.0,9,0.591404
7.0,7,0.595075
92.0,92,0.648702
29.0,29,0.668912
38.0,38,0.692993
72.0,72,0.733356
29.0,29,0.749612
16.0,16,0.759225
6.0,6,0.762509
47.0,47,0.789986
38.0,38,0.813243
34.0,34,0.833678
32.0,32,0.851218
45.0,45,0.875956
10.0,10,0.881294
10.0,10,0.886832
14.0,14,0.89433
8.0,8,0.898723
9.0,9,0.90452
5.0,5,0.907415
31.0,31,0.92624
13.0,13,0.933542
66.0,66,0.974209
15.0,15,0.982569
15.0,15,0.991884
48.0,48,1.019701
13.0,13,1.027697
74.0,74,1.073576
31.0,31,1.090972
75.0,75,1.132813
13.0,13,1.140936
37.0,37,1.1665
17.0,17,1.180812
21.0,21,1.19941
19.0,19,1.212987
14.0,14,1.221995
5.0,5,1.22513
9.0,9,1.230738
6.0,6,1.234405
27.0,27,1.25145
50.0,50,1.281512
15.0,15,1.290687
9.0,9,1.296068
5.0,5,1.299049
35.0,35,1.322862
23.0,23,1.335728
39.0,39,1.359315
31.0,31,1.377706
2.0,2,1.378921
39.0,39,1.401893
61.0,61,1.439237
29.0,29,1.457659
3.0,3,1.459534
49.0,49,1.490543
2.0,2,1.491678
18.0,18,1.501407
15.0,15,1.510744
6.0,6,1.514239
3.0,3,1.515925
25.0,25,1.533779
33.0,33,1.557429
9.0,9,1.563214
9.0,9,1.568248
4.0,4,1.571393
15.0,15,1.581764
19.0,19,1.594429
19.0,19,1.606932
55.0,55,1.642837
21.0,21,1.65722
23.0,23,1.672586
23.0,23,1.687916
27.0,27,1.705325
8.0,8,1.710034
9.0,9,1.715095
28.0,28,1.73289
12.0,12,1.740734
7.0,7,1.744832
33.0,33,1.767289
50.0,50,1.799853
43.0,43,1.827816
12.0,12,1.835133
13.0,13,1.843296
27.0,27,1.859307
44.0,44,1.885466
15.0,15,1.894842
14.0,14,1.903544
19.0,19,1.914624
11.0,11,1.923176
17.0,17,1.933642
15.0,15,1.944104
57.0,57,1.980475
61.0,61,2.023301
47.0,47,2.053536
37.0,37,2.078063
12.0,12,2.087137
14.0,14,2.0959
4.0,4,2.098349
41.0,41,2.123664
15.0,15,2.132295
39.0,39,2.157851
99.0,99,2.235853
45.0,45,2.299475
19.0,19,2.31224
31.0,31,2.331878
13.0,13,2.340433
7.0,7,2.344482
9.0,9,2.34972
43.0,43,2.376002
27.0,27,2.392177
9.0,9,2.397181
7.0,7,2.401044
7.0,7,2.405327
25.0,25,2.419444
50.0,50,2.450986
21.0,21,2.463771
19.0,19,2.47519
45.0,45,2.501036
15.0,15,2.510008
10.0,10,2.515526
13.0,13,2.523036
20.0,20,2.534424
83.0,83,2.584948
21.0,21,2.598044
36.0,36,2.621594
16.0,16,2.630195
25.0,25,2.644268
9.0,9,2.649245
49.0,49,2.677809
53.0,53,2.709365
15.0,15,2.718135
15.0,15,2.727959
23.0,23,2.742143
50.0,50,2.775279
11.0,11,2.7814
14.0,14,2.790094
10.0,10,2.795301
80.0,80,2.840666
11.0,11,2.847155
29.0,29,2.864602
24.0,24,2.878663
41.0,41,2.90238
9.0,9,2.907936
9.0,9,2.912896
21.0,21,2.925114
26.0,26,2.940436
21.0,21,2.952187
7.0,7,2.956408
7.0,7,2.960659
75.0,75,3.003265
19.0,19,3.013306
25.0,25,3.026535
83.0,83,3.07196
37.0,37,3.091713
