#{"t_start": 1706612906.0198941, "env_id": "None"}
r,l,t
0.0,24,0.174697
0.0,34,0.202646
10.0,83,0.267873
3.0,25,0.287994
0.0,13,0.298037
0.0,28,0.327471
0.0,18,0.340905
0.0,32,0.364465
0.0,12,0.373707
0.0,37,0.401518
0.0,8,0.409515
0.0,7,0.415818
0.0,15,0.427728
0.0,9,0.434508
0.0,9,0.44176
0.0,6,0.446325
3.0,75,0.504867
0.0,36,0.543033
0.0,22,0.568399
3.0,29,0.591373
0.0,9,0.598383
3.0,25,0.620707
0.0,27,0.643103
0.0,42,0.676017
3.0,21,0.691825
0.0,16,0.705502
3.0,16,0.716885
0.0,24,0.739221
3.0,14,0.751611
0.0,8,0.763652
0.0,14,0.775685
0.0,4,0.778611
0.0,17,0.790954
0.0,10,0.798252
0.0,4,0.801211
3.0,48,0.843739
5.0,28,0.866931
0.0,2,0.868923
3.0,17,0.882616
2.0,25,0.900621
0.0,2,0.902112
0.0,7,0.90738
0.0,9,0.913911
0.0,55,0.957141
0.0,7,0.962827
0.0,14,0.97355
0.0,11,0.981837
0.0,7,0.98693
0.0,19,1.000555
3.0,20,1.016249
0.0,10,1.023431
0.0,40,1.055991
0.0,20,1.071807
0.0,7,1.078386
3.0,22,1.098167
1.0,15,1.111849
1.0,40,1.14714
5.0,31,1.175255
0.0,14,1.187414
3.0,20,1.202902
1.0,17,1.215703
0.0,11,1.223857
3.0,52,1.265536
0.0,47,1.302214
4.0,31,1.335019
4.0,48,1.381121
0.0,33,1.412263
0.0,11,1.426834
0.0,28,1.449773
0.0,8,1.456421
3.0,18,1.473759
5.0,76,1.537637
0.0,5,1.541931
4.0,36,1.573088
0.0,7,1.578526
0.0,4,1.58169
0.0,4,1.584913
0.0,17,1.598352
0.0,7,1.603464
1.0,36,1.630138
0.0,6,1.634558
0.0,10,1.641818
0.0,4,1.644767
0.0,7,1.649876
3.0,62,1.697943
3.0,35,1.725057
0.0,5,1.729669
0.0,10,1.738388
0.0,11,1.746946
3.0,10,1.754247
2.0,22,1.778397
0.0,21,1.797131
3.0,30,1.822578
0.0,7,1.827787
0.0,18,1.84157
0.0,6,1.846168
0.0,16,0.031593
0.0,18,0.048209
5.0,27,0.080369
0.0,19,0.103804
0.0,19,0.121522
0.0,13,0.131637
0.0,12,0.139593
0.0,11,0.146628
1.0,63,0.187182
5.0,88,0.242576
0.0,13,0.250752
0.0,26,0.267417
0.0,7,0.271899
0.0,9,0.277484
0.0,13,0.285319
0.0,11,0.292125
0.0,10,0.298746
0.0,11,0.305819
0.0,4,0.308578
3.0,45,0.33655
0.0,10,0.342358
0.0,20,0.353816
0.0,18,0.364275
0.0,7,0.368362
0.0,14,0.376566
1.0,76,0.431852
1.0,21,0.44354
0.0,18,0.453935
5.0,24,0.468984
0.0,36,0.490068
0.0,13,0.49789
0.0,9,0.502972
0.0,15,0.511507
1.0,16,0.520508
7.0,56,0.560338
3.0,36,0.580686
0.0,12,0.587521
0.0,30,0.604777
0.0,22,0.617325
4.0,64,0.653338
0.0,20,0.664435
3.0,29,0.680664
0.0,20,0.691972
0.0,5,0.694766
3.0,18,0.70528
0.0,5,0.708542
0.0,28,0.725265
0.0,2,0.726581
1.0,16,0.737027
0.0,10,0.743484
3.0,16,0.753634
4.0,43,0.780202
3.0,20,0.793422
2.0,11,0.800266
0.0,6,0.804196
0.0,16,0.813626
0.0,12,0.82088
0.0,11,0.826888
0.0,28,0.843824
0.0,5,0.846852
0.0,4,0.849802
0.0,9,0.854926
0.0,9,0.859977
3.0,14,0.868286
0.0,4,0.870546
0.0,17,0.88021
0.0,10,0.886339
0.0,60,0.92492
0.0,12,0.932627
0.0,10,0.939063
0.0,16,0.948896
0.0,5,0.952006
1.0,52,0.980906
0.0,2,0.982406
0.0,8,0.988014
5.0,53,1.022114
3.0,41,1.047982
0.0,7,1.052096
0.0,34,1.072703
5.0,31,1.090338
3.0,21,1.102784
0.0,37,1.124177
0.0,14,1.132848
9.0,66,1.169166
8.0,33,1.185793
