#{"t_start": 1707833924.053546, "env_id": "None"}
r,l,t
10.0,1,0.03944
10.0,1,0.040965
10.0,1,0.042773
10.0,1,0.044222
10.0,1,0.045282
10.0,1,0.04718
10.0,1,0.048259
10.0,1,0.049383
9.0,2,0.051421
10.0,1,0.052818
10.0,1,0.053974
9.0,2,0.056123
10.0,1,0.057058
10.0,1,0.058257
9.0,2,0.060142
8.0,3,0.063369
10.0,1,0.064639
10.0,1,0.065913
10.0,1,0.067681
10.0,1,0.068775
10.0,1,0.070228
10.0,1,0.071556
10.0,1,0.072542
9.0,2,0.074166
9.0,2,0.076157
10.0,1,0.077438
1.0,5,0.080841
10.0,1,0.08209
10.0,1,0.083837
10.0,1,0.08528
10.0,1,0.086935
10.0,1,0.088136
10.0,1,0.089198
9.0,2,0.09089
10.0,1,0.092095
10.0,1,0.093172
10.0,1,0.094199
10.0,1,0.095395
10.0,1,0.096504
10.0,1,0.097541
10.0,1,0.098645
10.0,1,0.099692
10.0,1,0.100779
9.0,2,0.102693
10.0,1,0.104095
10.0,1,0.105087
9.0,2,0.10678
9.0,2,0.108429
9.0,2,0.110191
10.0,1,0.111164
10.0,1,0.11216
9.0,2,0.113726
9.0,2,0.115355
9.0,2,0.117135
10.0,1,0.118351
9.0,2,0.120281
9.0,2,0.121942
2.0,4,0.124852
10.0,1,0.126043
10.0,1,0.126958
10.0,1,0.127919
10.0,1,0.12895
9.0,2,0.130551
10.0,1,0.131484
9.0,2,0.133116
10.0,1,0.134282
9.0,2,0.135947
10.0,1,0.137112
10.0,1,0.138083
9.0,2,0.139736
10.0,1,0.141447
10.0,1,0.142404
9.0,2,0.144012
10.0,1,0.145031
10.0,1,0.146042
9.0,2,0.148246
10.0,1,0.149314
10.0,1,0.150302
10.0,1,0.151245
10.0,1,0.152592
10.0,1,0.153806
10.0,1,0.15496
10.0,1,0.155933
10.0,1,0.156849
10.0,1,0.157949
10.0,1,0.15885
10.0,1,0.15982
10.0,1,0.160859
10.0,1,0.161804
10.0,1,0.162927
9.0,2,0.164722
10.0,1,0.165723
10.0,1,0.166786
10.0,1,0.16777
10.0,1,0.169145
10.0,1,0.170283
10.0,1,0.1713
10.0,1,0.172242
9.0,2,0.17411
10.0,1,0.175033
10.0,1,0.176044
10.0,1,0.177023
10.0,1,0.177959
10.0,1,0.178908
10.0,1,0.17987
10.0,1,0.180823
10.0,1,0.181729
10.0,1,0.182741
10.0,1,0.183955
10.0,1,0.185151
10.0,1,0.186255
10.0,1,0.187351
9.0,2,0.189114
10.0,1,0.190228
10.0,1,0.191217
10.0,1,0.192162
10.0,1,0.193083
10.0,1,0.194108
9.0,2,0.195732
10.0,1,0.196674
9.0,2,0.198289
9.0,2,0.199884
10.0,1,0.200802
9.0,2,0.202651
10.0,1,0.203643
10.0,1,0.204635
10.0,1,0.20576
9.0,2,0.207356
9.0,2,0.208946
10.0,1,0.209939
10.0,1,0.210875
10.0,1,0.211796
10.0,1,0.212871
9.0,2,0.214601
10.0,1,0.215573
10.0,1,0.216571
10.0,1,0.217504
10.0,1,0.218682
10.0,1,0.219989
10.0,1,0.220975
10.0,1,0.22206
9.0,2,0.223701
10.0,1,0.225176
10.0,1,0.226495
10.0,1,0.227462
9.0,2,0.229163
9.0,2,0.230816
10.0,1,0.351305
10.0,1,0.352576
10.0,1,0.353686
10.0,1,0.354628
10.0,1,0.355671
10.0,1,0.356747
10.0,1,0.357654
10.0,1,0.358705
10.0,1,0.359601
10.0,1,0.360504
10.0,1,0.361661
10.0,1,0.362782
10.0,1,0.363823
9.0,2,0.365413
10.0,1,0.366367
10.0,1,0.367289
9.0,2,0.369246
10.0,1,0.370426
10.0,1,0.371431
9.0,2,0.373172
9.0,2,0.37477
9.0,2,0.376366
10.0,1,0.377301
10.0,1,0.378238
9.0,2,0.380095
9.0,2,0.381757
10.0,1,0.382928
10.0,1,0.383865
10.0,1,0.384891
10.0,1,0.386077
10.0,1,0.387187
10.0,1,0.388326
9.0,2,0.390116
10.0,1,0.391217
10.0,1,0.392232
9.0,2,0.39372
10.0,1,0.394701
10.0,1,0.395631
10.0,1,0.396577
10.0,1,0.397491
10.0,1,0.398463
10.0,1,0.399376
10.0,1,0.400352
9.0,2,0.402237
10.0,1,0.403304
10.0,1,0.404235
10.0,1,0.405321
9.0,2,0.40695
10.0,1,0.407883
10.0,1,0.408832
10.0,1,0.409762
10.0,1,0.410882
10.0,1,0.411931
10.0,1,0.412891
10.0,1,0.413873
9.0,2,0.415532
10.0,1,0.416576
10.0,1,0.41754
10.0,1,0.418719
10.0,1,0.419935
9.0,2,0.421858
9.0,2,0.423607
10.0,1,0.424658
10.0,1,0.425648
10.0,1,0.426604
10.0,1,0.427535
10.0,1,0.428493
10.0,1,0.429418
10.0,1,0.430356
9.0,2,0.432018
9.0,2,0.433701
