#{"t_start": 1708333832.0969012, "env_id": "None"}
r,l,t
-72.0,83,0.13625
-50.0,61,0.197403
-63.0,74,0.274046
-91.0,102,0.386294
-17.0,23,0.410376
-1.0,12,0.424237
-96.0,107,0.542316
-23.0,29,0.573776
-51.0,57,0.632849
-57.0,63,0.700961
-24.0,30,0.730905
4.0,7,0.740119
-72.0,78,0.825463
-161.0,167,1.049323
-1.0,12,1.080501
-76.0,82,1.210217
-38.0,44,1.262674
-150.0,156,1.433607
-43.0,54,1.490271
-159.0,170,1.678537
-83.0,89,1.773165
-99.0,110,1.888599
-33.0,44,1.93821
-59.0,65,2.017424
-145.0,156,2.216017
-26.0,32,2.257021
-63.0,74,2.352715
-52.0,58,2.422857
-41.0,47,3.839842
-83.0,89,3.934707
-184.0,195,4.138648
-121.0,127,4.2687
-34.0,40,4.308778
-140.0,151,4.467183
-19.0,25,4.492823
-10.0,16,4.508774
-89.0,95,4.608134
-39.0,45,4.659288
-16.0,27,4.687817
-57.0,63,4.754535
-27.0,38,4.791785
-75.0,81,4.876361
7.0,4,4.881134
-155.0,166,5.056256
-61.0,67,5.124052
-152.0,163,5.292279
-67.0,78,5.369566
-7.0,13,5.384587
-61.0,67,5.447784
-44.0,50,5.50274
-36.0,47,5.546475
-80.0,86,5.632235
-60.0,66,5.69661
-52.0,63,5.759873
-139.0,145,5.902306
-35.0,46,7.07911
-34.0,45,7.123187
-79.0,90,7.21385
-21.0,27,7.24212
-41.0,47,7.289333
-53.0,64,7.35277
-14.0,25,7.380512
-33.0,39,7.419725
-90.0,96,7.517119
-128.0,134,7.649035
-64.0,70,7.720196
-26.0,37,7.755645
-80.0,91,7.847689
-9.0,15,7.863566
-88.0,99,7.96227
-21.0,32,7.995102
-37.0,48,8.040046
-58.0,64,8.103911
-3.0,14,8.117714
-26.0,37,8.154926
-8.0,19,8.173717
-6.0,17,8.190581
-127.0,138,8.335004
-37.0,48,8.386384
-79.0,90,8.48004
-92.0,103,8.594974
-62.0,73,8.671498
