#{"t_start": 1707388499.930891, "env_id": "None"}
r,l,t
-170.0,19,0.069033
30.0,8,0.076831
40.0,7,0.0838
-400.0,42,0.120644
90.0,2,0.122563
-390.0,41,0.15912
-10.0,12,0.169223
-70.0,18,0.184896
-40.0,6,0.190209
-1120.0,114,0.302198
-60.0,8,0.309496
40.0,7,0.316176
-60.0,8,0.323891
-70.0,18,0.343594
-90.0,11,0.354322
-340.0,36,0.38675
100.0,1,0.387887
-390.0,41,0.424705
70.0,4,0.42808
-270.0,29,0.455096
-30.0,5,0.459544
-170.0,19,0.476118
-520.0,54,0.523567
-100.0,12,0.537783
-290.0,31,0.568319
-40.0,6,0.574322
-410.0,52,0.626042
-160.0,27,0.668932
-30.0,5,0.677376
-210.0,23,0.701013
-70.0,9,0.708826
-240.0,35,0.738739
-40.0,6,0.744266
100.0,1,0.745315
-50.0,7,0.751197
-50.0,7,0.759235
-170.0,19,0.775151
-190.0,30,0.800797
70.0,4,0.804301
-220.0,24,0.825676
50.0,6,0.830658
-130.0,24,0.851124
-220.0,24,0.87301
-420.0,44,0.911965
-40.0,15,0.926876
-100.0,12,0.938055
-40.0,15,0.951047
-180.0,20,0.971523
-540.0,56,1.028514
-210.0,23,1.047631
90.0,2,1.04948
50.0,6,1.054534
-110.0,13,1.065155
100.0,1,1.066104
80.0,3,1.068625
-120.0,23,1.089496
-140.0,16,1.102635
-80.0,10,1.111181
-140.0,25,1.13308
-170.0,19,1.148128
-80.0,10,1.156712
-50.0,7,1.162622
80.0,3,1.165042
-210.0,23,1.18662
-290.0,31,1.213304
-380.0,40,1.246597
-80.0,10,1.254951
-20.0,4,1.258311
-80.0,10,1.26648
-260.0,28,1.29153
-20.0,4,1.294827
-60.0,8,1.301313
-270.0,29,1.325731
-70.0,9,1.333129
100.0,1,1.334018
-50.0,7,1.339826
80.0,3,1.342335
0.0,2,1.344029
-330.0,35,1.371989
-400.0,42,1.407575
-40.0,15,1.420035
100.0,1,1.420944
-60.0,8,1.427584
-50.0,16,1.441765
-290.0,31,1.467546
-170.0,28,1.493228
10.0,1,1.494173
